id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,value_score
18055685,Oasis in Harlem,3167806,Heather,Manhattan,Harlem,Entire home/apt,150,4,16,0.65,12,0.176
18059112,Private room in beatiful sunny apt in Crown Height,138243,Alexander,Brooklyn,Crown Heights,Private room,45,2,12,0.46,32,0.3893333333333333
18059656,Charming Cozy Room in Harlem,9030453,Irie,Manhattan,Harlem,Private room,67,2,28,1.04,132,0.8525373134328359
18061481,Sunny room with private terrace in Sunnyside,20691482,M&A New York,Queens,Sunnyside,Private room,69,3,21,0.78,177,0.5417391304347826
18066269,"@Ferry,2Bedroom/3beds.Private,Renovated/Stylish...",117492425,Dine,Staten Island,St. George,Entire home/apt,72,4,97,3.71,152,6.345416666666667
18068913,"Sunny & cozy Studio at the park, 25m to Manhattan",23944472,Stelios,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,69,3,16,0.59,6,0.36869565217391304
18069745,Private bathroom bedroom near JFK  30min to NYC,91184602,Sonia,Queens,Richmond Hill,Private room,95,3,26,1.38,160,0.6513684210526315
18071246,A3Small Cozy Room in Long Island City,79105834,Leo,Queens,Long Island City,Private room,35,1,90,3.31,273,11.082857142857144
18071374,Brooklyn (NYC) Modern Comfort.,48712266,Eka,Brooklyn,Greenpoint,Entire home/apt,175,5,72,2.73,198,1.5346285714285715
18075511,Inspiring & Motivational ⭐️,43352661,Charles,Manhattan,Washington Heights,Private room,80,1,129,4.7,365,9.19125
18076273,Lovely & bright Brooklyn room close to train,1753130,Britt,Brooklyn,Greenpoint,Private room,49,5,52,1.94,66,3.12
18076623,Cosy Colorful Great Bedstuy location & apt,24467449,Laura,Brooklyn,Bedford-Stuyvesant,Private room,45,1,20,0.74,10,0.7733333333333333
18076816,Beautiful Island life in NYC,20600569,Tiffany,Manhattan,Roosevelt Island,Private room,100,2,97,3.57,142,4.4329
18076911,Access to NYC,44924379,Roland,Queens,Jamaica,Private room,50,1,38,1.41,359,1.8316000000000003
18077042,CLEAN! Executive Studio Suite. Entire apt w/pvt BR,121093001,Geoffrey,Queens,Ozone Park,Entire home/apt,81,3,96,3.59,233,5.4399999999999995
18077560,Beautiful Large Private Room-Great location,4047395,Blanca,Brooklyn,Clinton Hill,Private room,80,2,37,1.4,159,1.1099999999999999
18079072,"Huge, Sunny Loft in Williamsburg, Near Waterfront",124491152,Philip,Brooklyn,Williamsburg,Entire home/apt,175,2,134,5.12,208,4.686171428571429
18086664,A place to feel like home; cozy room,124554019,Eric,Brooklyn,Crown Heights,Private room,57,1,32,1.38,95,1.336140350877193
18089676,Cozy Escape in Brooklyn,124580765,Ruth,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,129,2,86,3.17,247,2.7800000000000002
18091187,The Heights,124593127,Miguel,Manhattan,Washington Heights,Private room,40,1,93,3.5,297,10.4625
18091600,Amazingly Charming 2 BR in Historic Harlem,709334,Julie,Manhattan,Harlem,Entire home/apt,250,2,14,0.55,296,0.0868
18091991,Cozy Room,124593127,Miguel,Manhattan,Washington Heights,Private room,55,1,96,3.61,128,8.046545454545454
18095883,Charming 2 Bedroom home close to Airport and City,70774951,Farhan,Queens,East Elmhurst,Entire home/apt,125,1,138,6.92,111,8.74368
18104150,Large Newly Renovated Guest Suite,124702572,Ted & Tony,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,2,12,0.46,9,0.0876
18104553,Sunny Williamsburg Apartment - Prime Location,5479861,Brandon,Brooklyn,Williamsburg,Entire home/apt,160,1,18,0.7,2,0.19124999999999998
18108648,Large 2bd 15 min to Midtown Manhattan,124740003,Dani,Queens,Ditmars Steinway,Entire home/apt,100,3,93,3.49,197,4.1757
18108981,HUGE PRISTINE VERSACE DUPLEX APT. IN BROOKLYN,124743046,Mark,Brooklyn,Bedford-Stuyvesant,Entire home/apt,195,4,80,3.0,218,1.641025641025641
18109852,"Sunny high-ceiling, large-windows, Bushwick apt",5168429,Chris,Brooklyn,Bushwick,Private room,65,4,17,0.66,11,0.43415384615384617
18110654,Bright and Sunny Brooklyn Sanctuary,9630989,Ernesto,Brooklyn,Bushwick,Private room,60,2,113,4.15,3,9.699166666666667
18117334,"Bright Zen Bedroom with TV, nr JMZ Subways",3388950,Amaya,Brooklyn,Bedford-Stuyvesant,Private room,72,4,59,2.22,120,2.6386111111111115
18120592,Clean room  PRIVATE full bath & private entrance,124860677,Jim&Lisa,Queens,Flushing,Private room,47,2,130,4.79,342,16.01489361702128
18120946,Tranquility in a Sunny  Duplex w/Private Bathroom,9909635,Vadim,Brooklyn,Bedford-Stuyvesant,Private room,125,1,60,2.21,90,1.5408
18121314,Lovely Private Clean New Building A/C,1460313,Soraya,Queens,Ridgewood,Private room,56,5,71,2.81,100,4.830535714285714
18124558,MANHATTAN by Central Park/Subway Private Bedroom!,3084731,Cristine,Manhattan,East Harlem,Private room,79,5,47,1.77,131,1.6479746835443039
18133502,Sunny Modern Duplex w/Balcony & Rooftop Deck,9909635,Vadim,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,33,1.23,177,0.49060000000000004
18134948,"Room w/private bathroom, Breakfast & 7min to Manh",1746238,Kat,Brooklyn,Williamsburg,Private room,169,5,60,2.22,50,1.1431952662721894
18139171,Spacious Oasis Duplex with Private Garden,5736671,Sarah,Brooklyn,Boerum Hill,Entire home/apt,160,5,10,0.39,8,0.08687500000000001
18148158,Spacious Bright and Modern Studio,124142417,Marlene,Brooklyn,Bushwick,Entire home/apt,95,2,113,4.15,6,6.125789473684211
18151035,Stylish centrally Located 2 bedroom,3639678,Rose,Brooklyn,Boerum Hill,Entire home/apt,189,5,58,2.17,24,0.9728042328042327
18156252,LOFT SPACE IN BUSHWICH,10695335,Alessia,Brooklyn,Williamsburg,Entire home/apt,160,2,18,0.67,358,0.187875
18159825,"NYC4YOU  
Great location!!!",23187808,Theodore,Queens,Ditmars Steinway,Entire home/apt,99,1,81,2.98,202,3.2563636363636363
18173198,Charming & Affordable Shared Studio  in WestHarlem,274333,Janu,Manhattan,Harlem,Shared room,31,1,65,2.44,89,7.212903225806452
18173787,Cute Tiny Room Family Home by LGA NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,Private room,48,1,436,16.03,337,154.6891666666667
18173989,Private and Quiet Room in the Perfect Location,3660702,Greg,Manhattan,Chelsea,Private room,69,1,63,2.34,29,3.0495652173913044
18175675,2400 Sq Ft Tribeca Loft w/Private Elevator,2834168,Jessica,Manhattan,Tribeca,Entire home/apt,350,6,20,0.74,25,0.09942857142857142
18176796,3BED apartment 20 MINS TO MANHATTAN,116723158,Jamaul,Brooklyn,East Flatbush,Entire home/apt,140,1,111,4.53,259,4.3845
18177024,Two Bedroom on Williamsburg Waterfront,187912,Erin,Brooklyn,Williamsburg,Entire home/apt,235,1,35,1.29,9,0.34106382978723404
18188738,Cute Family Friendly Vintage Brownstone Living!!,27403581,Shay & Cam,Manhattan,Harlem,Shared room,49,2,52,1.95,194,3.1306122448979594
18188958,Beautiful 2-bedroom in Williamsburg,611109,Alexandra,Brooklyn,Williamsburg,Entire home/apt,224,1,26,1.01,192,0.2333035714285714
18190894,Large sleeping loft with two beds,17527788,Taylor,Brooklyn,Bushwick,Private room,49,1,20,0.74,89,0.710204081632653
18191892,Huge 2BR Apartment. Walk to beach/buses,28483768,Skender,Staten Island,Dongan Hills,Entire home/apt,95,4,45,1.66,134,1.26
18191965,Upper east side - Cozy Room,125542850,Gabriele,Manhattan,Upper East Side,Private room,110,3,11,0.41,203,0.141
18193397,Washington Heights Cozy,125558761,Stefan,Manhattan,Washington Heights,Private room,50,2,26,0.96,24,1.0192
18194450,Gorgeous Brooklyn Bedroom with Luxury Decor,54289696,Monica,Brooklyn,Crown Heights,Private room,27,2,81,2.99,84,11.97
18198439,BRIGHT SHABBY CHIC FLOOR THRU,7380428,Mel,Manhattan,Harlem,Entire home/apt,165,7,35,1.39,269,0.506969696969697
18198575,"Sunny, Spacious Bedroom 2 mins from the train!",16091224,Jesse,Brooklyn,Prospect-Lefferts Gardens,Private room,60,5,15,0.64,41,0.41000000000000003
18201148,"5* Views, Terrace, 2BR2B, Modern Luxury, Gym, Roof",48205496,B,Queens,Long Island City,Entire home/apt,379,4,91,3.44,152,1.0660686015831133
18205794,"Bright, Quiet and Modern--1,200 Sq Ft in W Village",1448674,Sean,Manhattan,West Village,Entire home/apt,329,4,33,1.25,16,0.2256838905775076
18208285,Cozy bedroom near Central Park,43200701,Nina,Manhattan,Upper East Side,Private room,100,1,68,2.62,5,2.4616
18208738,Bright uptown apartment in the heart of Harlem,20368225,Jessica,Manhattan,Harlem,Entire home/apt,200,2,68,2.9,43,1.3259999999999998
18208811,"Warm, clean room in a historic Harlem brownstone",20368225,Jessica,Manhattan,Harlem,Private room,115,1,120,4.77,34,6.020869565217391
18214015,Quiet Private Bedroom in the heart of Little Italy,41874064,Sheba,Manhattan,Little Italy,Private room,90,1,106,4.29,9,6.230444444444444
18215065,NEW 2 twin beds and private bathroom in Flushing!!,10366837,Jia,Queens,Flushing,Entire home/apt,65,2,84,3.19,119,5.41476923076923
18221723,"Spacious Apt w Deck, Williamsburg",3591955,Charles,Brooklyn,Williamsburg,Entire home/apt,265,3,26,1.01,70,0.1972075471698113
18221864,Lovely 1 BD on the Upper West Side,70601471,Andreas,Manhattan,Upper West Side,Entire home/apt,148,1,131,4.9,277,5.222297297297298
18221952,The ASTORIAN'S ArtPad,17247848,Kevin,Queens,Ditmars Steinway,Private room,95,1,31,1.2,90,0.7178947368421053
18222359,LIVE BROOKLYN! Private 1 BR APT - 5 min to Subway,120804342,David,Brooklyn,Bedford-Stuyvesant,Entire home/apt,109,2,112,4.22,258,5.363669724770642
18225729,Hip Soho Loft,121400000,Kristen,Manhattan,SoHo,Entire home/apt,200,3,16,0.6,15,0.128
18225912,"Fresh, bright modern studio w/ Garage Parking",3656008,Ivanna,Queens,Flushing,Entire home/apt,99,3,95,3.52,63,4.3373737373737375
18226037,Luxury Brooklyn + Roof Deck and Gym!,29950960,Erik,Brooklyn,Clinton Hill,Private room,75,4,14,0.54,10,0.2874666666666667
18226108,"1-bedroom apartment in Williamsburg, Brooklyn",57641560,Christopher,Brooklyn,Williamsburg,Entire home/apt,146,4,58,2.5,17,1.3904109589041096
18227529,Live in New York Near Central Park and Columbia U.,21940966,Mekkie,Manhattan,Harlem,Entire home/apt,140,2,82,3.17,5,2.4424285714285716
18228187,《2》法拉盛市中心明亮干净的私人房间,123580100,Evelyn,Queens,Flushing,Private room,45,1,94,3.48,62,9.358222222222224
18229274,# 1 A Brooklyn New York Apt: close to metro subway,125914985,Myles,Brooklyn,East Flatbush,Entire home/apt,185,6,60,3.22,112,1.3686486486486489
18239876,Studio aprtmnt for ONE  located in upper Manhattan,125589679,Shanta,Manhattan,Washington Heights,Entire home/apt,100,3,71,2.66,363,2.5986000000000002
18240743,Private Room in Staten Island + Walk-In Closet. #1,72603148,Faye,Staten Island,Stapleton,Private room,65,1,56,2.09,351,2.662153846153846
18240963,Coney Island MCU Park Wi fi Cable Apt****,114736959,Ed,Brooklyn,Coney Island,Entire home/apt,110,3,52,1.95,150,1.3945454545454545
18251681,"Private second floor, 2 BR, wood-frame farmhouse.",22769654,Jeff,Brooklyn,Clinton Hill,Private room,165,2,109,4.04,246,3.3294545454545457
18255225,Lovely Studio,43089949,Victoria,Brooklyn,Midwood,Entire home/apt,85,5,15,1.01,105,0.35470588235294115
18256895,☆☆☆Perfect Couple's Getaway☆☆☆,122265852,Alexander,Manhattan,Hell's Kitchen,Private room,99,1,159,5.88,178,11.04969696969697
18263839,An amazing Studio Apt in FIDI,57192926,Yara,Manhattan,Financial District,Entire home/apt,145,3,87,3.28,140,2.5679999999999996
18264166,10 mins/Airports JFK/LGA/Hosp/malls bus/train# 1,126247863,Seeranie,Queens,Richmond Hill,Private room,50,1,102,4.02,354,10.2408
18265387,Beautiful Room with Private Bathroom by Bushwick!!,99608108,Osa,Brooklyn,Bushwick,Private room,69,2,23,0.89,145,0.6300000000000001
18266775,Beautiful Room with Private Entrance by Bushwick!!,99608108,Osa,Brooklyn,Bushwick,Private room,69,2,34,1.33,319,1.1481159420289855
18270109,Beautiful Room by Bushwick Brooklyn!!,99608108,Osa,Brooklyn,Bushwick,Private room,29,2,40,1.49,319,3.43448275862069
18271718,Private Comfy Best Value BR w/Yard!~175ft to Subwy,40883799,Amos,Brooklyn,Bushwick,Private room,60,1,83,3.15,175,5.740833333333334
18273542,Luxury Room w/private bathroom in DUPLEX,9909635,Vadim,Brooklyn,Bedford-Stuyvesant,Private room,75,1,14,0.52,89,0.28373333333333334
18274232,PRIVATE BATH next to Central Park!,21380187,Mark,Manhattan,Hell's Kitchen,Private room,179,2,34,1.31,84,0.43877094972067043
18274492,Studio apartment in NYC,5949541,Helen,Staten Island,Grant City,Entire home/apt,80,3,68,2.55,50,3.0174999999999996
18275502,Sophisticated Brooklyn Brownstone,87766324,Michelle,Brooklyn,Bedford-Stuyvesant,Entire home/apt,196,2,88,3.32,9,1.939591836734694
18283511,☆☆☆Authentic NYC Experience☆☆☆,122265852,Alexander,Manhattan,Hell's Kitchen,Private room,99,1,134,4.96,176,8.067070707070707
18283646,Clean and Cozy Room - 20 Mins to Midtown Manhattan,28462809,Shesh,Manhattan,Harlem,Private room,80,2,18,0.69,55,0.38025
18286926,Joy's Luxury Apartment with Free Parking Space,126451493,Joy,Brooklyn,Canarsie,Entire home/apt,125,1,26,1.07,360,0.43056000000000005
18287772,☆☆☆Extravagant Couple's Escape☆☆☆,126168966,Alex,Manhattan,Hell's Kitchen,Private room,99,1,155,5.74,179,10.552525252525253
18288371,Beautiful Apartment in the Heart of Chelsea,8008110,Erika,Manhattan,Chelsea,Entire home/apt,195,6,33,1.36,1,0.39938461538461545
18288828,☆☆☆Luxurious Couple's Retreat☆☆☆,126168966,Alex,Manhattan,Hell's Kitchen,Private room,99,1,147,5.45,174,9.577272727272726
18290561,Harlem Jewel + Extra Travel Bonus,9777215,Theresa,Manhattan,Harlem,Entire home/apt,177,3,71,2.67,199,1.4721468926553671
18291430,Cozy Bedroom In Marble Hill ( Students Welcome ),18692297,Maneto,Manhattan,Marble Hill,Private room,44,5,18,0.69,349,0.6913636363636363
18294238,New tidy  room attached by PRIVATE FULL BATH,120767920,Jimmy &Cindy,Queens,Flushing,Private room,70,3,88,3.28,358,5.380571428571428
18303895,BEAUTIFUL BROWNSTONE STUDIO IN SOUTH HARLEM,126592760,Felicia,Manhattan,Harlem,Entire home/apt,125,2,98,3.67,247,3.6612799999999996
18305741,Cozy Room Minutes To Manhattan. #2,72603148,Faye,Staten Island,Stapleton,Private room,55,1,13,0.48,362,0.3498181818181818
18306444,Lively SoHo/Quiet St/2 blocks Subway/Fast WiFi,114548258,Only One,Manhattan,SoHo,Entire home/apt,215,1,83,3.19,214,1.6175348837209302
18308486,Gorgeous 2BR Private Entire Floor Buschwick,126632094,Faith,Brooklyn,Bedford-Stuyvesant,Private room,180,2,31,1.16,131,0.37200000000000005
18309885,Luxurious Quiet Apartment in the Heart of Harlem,3341119,T,Manhattan,Harlem,Private room,100,2,43,1.65,120,1.1395
18312568,Private room near Central Park,4111729,Mich,Manhattan,Upper East Side,Private room,100,5,71,2.67,66,2.6057
18312612,I LOVE NEW YORK in Theater District,63238467,Sam,Manhattan,Hell's Kitchen,Entire home/apt,180,4,79,3.03,211,1.7687222222222219
18313864,"Large, Sunny, Cozy Room in the Heart of Bed-Stuy!",22591747,Femi & Toya,Brooklyn,Bedford-Stuyvesant,Private room,60,4,39,1.46,338,1.599
18314102,ONE STOP TO TIME SQUARE BEAUTIFUL QUIET STUDIO,64964534,Natalya,Manhattan,Murray Hill,Entire home/apt,160,1,141,5.63,90,5.8426875
18314397,Charming Room 4 blocks from Empire State Building,94648262,Martin & Christine,Manhattan,Kips Bay,Private room,110,3,59,2.92,51,2.1025454545454547
18325063,Prvt entrance room! 1 stop to Mdtwn Manhattan.,20017962,John,Queens,Long Island City,Private room,72,3,11,0.42,341,0.21694444444444444
18327630,Gigantic 2 Bed/2 Bath Step to Columbus Circle&Park,125545452,Tasny,Manhattan,Hell's Kitchen,Entire home/apt,325,5,84,3.15,69,1.0726153846153847
18329309,"Private, sunny studio apartment in Queens",27670418,Alexisz Tamás,Queens,Ridgewood,Entire home/apt,79,9,11,0.48,3,0.20607594936708862
18331097,Tidy room  separate entrance plus paid parking,120767920,Jimmy &Cindy,Queens,Flushing,Private room,100,2,63,2.37,335,2.1231
18332922,Spacious Apt in the LES,3859814,Alexandria,Manhattan,Lower East Side,Entire home/apt,278,5,53,2.01,30,0.5738489208633094
18340599,Your cozy home away from home.,66064924,Griffith,Brooklyn,East New York,Private room,99,2,50,1.92,180,1.4747474747474747
18342361,"Romantic Artist's Townhouse, 1 suite: 2 Bd, 1 Bath",126922318,Emily,Manhattan,Upper West Side,Private room,250,3,78,2.93,246,1.2261600000000001
18348512,NYC Hells Kitchen 51St ﾐｯﾄﾞﾀｳﾝｳｴｽﾄｻｲﾄﾞ,126984603,Val &Yuko,Manhattan,Hell's Kitchen,Private room,65,5,31,1.2,54,1.0492307692307692
18357947,"Cozy, private room in Williamsburg, Brooklyn!",8541180,Katie,Brooklyn,Williamsburg,Private room,100,1,60,2.25,78,1.95
18358279,Luxury 2 Bedroom Apartment!!,44852596,Luna,Manhattan,Financial District,Entire home/apt,130,3,19,0.72,244,0.2513846153846154
18358343,Private room in the perfect location,127080012,Thor,Manhattan,Nolita,Private room,95,4,25,0.95,38,0.5131578947368421
18358437,"Clean, Modern Duplex Upper East Side with Patio",41869754,Yosef,Manhattan,Upper East Side,Private room,115,2,36,1.38,3,0.7450434782608695
18358606,Gorgeous  Renovated 1BR - close to Central Park,122877644,Kate,Manhattan,East Harlem,Entire home/apt,195,2,87,3.29,213,1.9140000000000001
18358621,"LUXURY Times Sq 2bed, with King,Queen & Full",3169815,Joe,Manhattan,Hell's Kitchen,Entire home/apt,350,1,96,3.63,253,1.2699428571428573
18359426,Lovely room with a view.,82562435,Josephine,Queens,Arverne,Private room,48,1,62,2.35,3,4.327083333333333
18361045,Artist Open Concept Loft,11553221,Alex,Brooklyn,Downtown Brooklyn,Entire home/apt,225,1,15,0.59,87,0.106
18369169,"☆☆Hell's Kitchen, Central Park, Times Square☆☆",32044305,Mark,Manhattan,Hell's Kitchen,Private room,130,4,91,3.42,254,3.094
18370699,Spacious Greenpoint Apt near McGolrick Park!,36883838,Monika,Brooklyn,Greenpoint,Entire home/apt,145,2,20,0.76,98,0.2427586206896552
18370979,"Comfy, Awesome, Large Apt. in Brownstone",127196839,Nicky,Brooklyn,Clinton Hill,Private room,95,2,45,2.11,43,1.473157894736842
18373404,Little Haven in Brooklyn Redeux,14588919,Allison,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,131,4.96,185,5.205066666666666
18374647,Maison Macon,88734376,Lena,Brooklyn,Bedford-Stuyvesant,Private room,187,2,31,2.69,35,0.611711229946524
18375685,"Beautiful, Two bedroom apartment Brooklyn P.L.G",76225580,Gary,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,175,2,104,4.0,168,2.9714285714285715
18375815,Spacious private room close St. Barnabas Hospital,127249880,Emma,Bronx,Tremont,Private room,38,2,33,1.27,327,1.9713157894736841
18377036,"Bright, Beautiful Double Room",13649613,"Rossy,  Carmen And Juan",Bronx,University Heights,Private room,53,3,55,2.15,80,3.268867924528302
18381623,Luminous Zen Garden Retreat,23036053,Terrence,Manhattan,East Village,Private room,145,4,64,2.46,136,1.5271724137931035
18385188,"Brooklyn Modern: Sunny 2BR, Boutique Style",127341412,Melissa,Brooklyn,Gowanus,Entire home/apt,173,2,100,3.88,18,2.820809248554913
18386105,"A Special Place for You! Bed-Stuy, Brooklyn",126501524,Jaran,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,3,40,1.6,170,0.6933333333333334
18386494,Sunny 2+ bd. Great for groups. Very kid friendly.,17930,Seryn,Brooklyn,Windsor Terrace,Entire home/apt,200,2,100,3.78,244,2.3899999999999997
18386915,"Sunny Studio in Park Slope, Brooklyn",32706119,Shanee,Brooklyn,Park Slope,Entire home/apt,120,2,86,3.24,185,3.038666666666667
18387798,COZY + STYLISH ROOM FOR YOU IN NYC! (A),126929216,Mel,Brooklyn,Crown Heights,Private room,45,14,10,0.42,322,0.31555555555555553
18390143,"Huge Room, Top Floor Of Brownestone",91167002,Alyson,Manhattan,Hell's Kitchen,Private room,120,2,32,1.25,90,0.6
18390907,"Sun-soaked, charming Brooklyn home",3695964,Elie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,1,37,1.53,5,0.4680500000000001
18393805,Private Room 15 Min to Manhattan (Lower East Side),127412674,Charles,Brooklyn,Bedford-Stuyvesant,Private room,46,2,71,2.69,309,5.695434782608696
18394653,Brooklyn Paradise,44140036,Ricardo,Brooklyn,East Flatbush,Private room,60,2,20,0.81,190,0.6033333333333334
18397124,WaHi Overlook,127450854,Cesar,Manhattan,Washington Heights,Private room,70,1,23,0.87,138,0.6144285714285715
18399865,Best East Village location St Marks 2 bedroom apt.,2552603,Derek,Manhattan,East Village,Entire home/apt,190,1,105,3.97,306,2.746578947368421
18402330,Airy and Bright Room with Balcony,33434914,Juan,Bronx,Parkchester,Private room,60,2,89,3.36,30,6.4673333333333325
18402568,A Modern and bright room,33434914,Juan,Bronx,Parkchester,Private room,45,2,74,2.89,34,6.396888888888889
18408236,All New! Vanderbilt Suite,124287074,Chaya,Brooklyn,Prospect Heights,Entire home/apt,188,2,59,2.25,28,1.0199468085106382
18410445,Large Room and Apartment in Upper Manhattan,63408461,Diane,Manhattan,Washington Heights,Private room,100,2,102,3.84,213,4.9368
18411056,Wonderful living in 3B/3B Harlem Brownstone Duplex,127567480,Paulina,Manhattan,Harlem,Entire home/apt,295,1,52,5.05,256,1.0664406779661015
18411446,NEW! Luxury studio WITH SPA shower in Flushing!!!,10366837,Jia,Queens,Flushing,Entire home/apt,99,2,88,3.38,120,3.893333333333333
18414310,Cozy Room Easy Access To Manhattan - Room #3,72603148,Faye,Staten Island,Stapleton,Private room,65,1,37,1.41,356,1.371846153846154
18415505,Stylish Apartment with beautiful skyline views.,11191325,Daniel,Manhattan,Harlem,Entire home/apt,99,5,35,1.32,1,0.8202020202020204
18424903,Luxury Townhouse,2948325,Ray,Manhattan,East Harlem,Entire home/apt,300,3,53,2.03,104,0.5353
18427825,Cozy Brooklyn Affordable In-Law,127539184,Yuna,Brooklyn,East Flatbush,Entire home/apt,80,3,38,1.45,78,1.16375
18430686,Private bedroom in an amazingly located apartment.,17577495,Ramiro & Jeff,Manhattan,Hell's Kitchen,Private room,80,3,42,1.58,172,1.3545
18432894,Casa Estrella,6455775,Monica,Brooklyn,Bushwick,Entire home/apt,207,2,78,3.06,231,1.5298550724637685
18433038,Private Cozy Room In Astoria,127762325,Zee,Queens,Ditmars Steinway,Private room,59,1,77,2.97,198,5.181186440677966
18433781,"Large, Sunny Private Room in New Renovated House",54548000,Danny,Brooklyn,Bedford-Stuyvesant,Private room,75,1,70,2.79,220,3.5373333333333337
18439203,Brooklyn Beauty!!,127814176,Erica,Brooklyn,East New York,Entire home/apt,115,2,118,4.47,121,5.612695652173913
18450143,Entire Pre-War Apartment 1 Minute From Train,127721863,Machel,Brooklyn,Flatbush,Entire home/apt,100,3,62,2.37,108,2.0894
18455236,Modern 1 Bedroom In the Middle of Everything!,3470710,Michael,Brooklyn,Williamsburg,Entire home/apt,94,2,29,1.1,1,0.647872340425532
18455830,Charming 2 bedroom apartment in Brooklyn,60160069,Tatiana,Brooklyn,Bushwick,Entire home/apt,190,3,42,1.62,303,0.5791578947368421
18460119,Private Room in Homey Roosevelt Island Apartment,127999994,Kate,Manhattan,Roosevelt Island,Private room,100,2,85,3.28,211,3.6379999999999995
18460679,"Bright, modern room with a view of NYC skyline",14666091,Joonas,Brooklyn,Bushwick,Private room,90,5,16,0.61,37,0.2862222222222222
18460756,"Bright, private room in Bushwick w/ AC",128004958,Virginia,Brooklyn,Bushwick,Private room,50,1,100,4.03,2,10.06
18462718,Neat Cozy  room attached by PRIVATE FULL BATHROOM,120767920,Jimmy &Cindy,Queens,Flushing,Private room,47,2,79,3.15,346,6.975531914893618
18463609,Spring in Bed Stuy,31315421,Angela,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,77,2.96,277,3.0492000000000004
18470545,Comfy & Cozy In Brooklyn,38120363,Brian,Brooklyn,Crown Heights,Private room,49,2,39,1.53,84,2.0136734693877556
18471232,Brooklyn Home away from Home,4894044,Azzie,Brooklyn,Crown Heights,Private room,100,1,28,1.92,88,0.8175999999999999
18472494,The Grand Macon,60077252,Sumaiya,Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,4,67,2.66,74,1.4861818181818183
18473439,Remodeled 20min train to enter city 5min to subway,20438455,Jason,Brooklyn,Borough Park,Private room,49,2,126,4.82,45,14.965714285714286
18476474,Bright XL room in Hamilton Heights/Sugar Hill,98861076,Peter & Gabe,Manhattan,Harlem,Private room,90,2,136,5.13,204,9.26311111111111
18476851,Beautiful Private Room Near Manhattan & JFK,106430338,Alana,Brooklyn,Bensonhurst,Private room,60,3,43,1.65,173,1.8991666666666667
18477226,The Justice Tower 2,38068387,Xolie,Brooklyn,Clinton Hill,Private room,100,2,11,0.43,347,0.1573
18481196,Studio in Chelsea,1750685,Shayan,Manhattan,Chelsea,Entire home/apt,200,1,12,0.6,8,0.09600000000000002
18488335,Sunny Duplex 2 bdr apt in the heart of Harlem,12293403,Joffrey,Manhattan,Harlem,Entire home/apt,85,3,35,1.36,40,0.9717647058823531
18488833,Sunny Parlor Apt in Flatbush Townhouse (furnished),10285950,Christina,Brooklyn,Flatbush,Entire home/apt,85,6,14,0.53,339,0.252
18489366,Glamorous one bedroom apartment in Brooklyn,4775716,Foster,Brooklyn,Prospect Heights,Entire home/apt,165,2,21,3.73,146,0.6020000000000001
18490141,IT'S SIMPLY CONVENIENT!,97001292,Maria,Queens,Jamaica,Entire home/apt,10,1,43,1.68,252,11.523999999999997
18499050,Sunny Garden Apt in Historic Park Slope Brownstone,351465,Dasha,Brooklyn,Park Slope,Entire home/apt,190,4,60,2.29,155,1.0389473684210526
18499074,Cozy spacious rooms with natural sunlight,127714840,Guy,Brooklyn,Bedford-Stuyvesant,Private room,80,5,11,0.9,340,0.26125
18502246,Private Room in Sunny Beautiful Kosher Apartment,106272021,Esther,Brooklyn,East Flatbush,Private room,50,2,21,0.83,31,0.7686
18503701,Oriental Room in Upper Manhattan near Central Park,128413939,Alfred And Lau,Manhattan,Harlem,Private room,78,3,88,3.36,189,4.918974358974358
18504151,Seaport Water Front Private Studio,128417181,Rachel,Manhattan,Financial District,Private room,205,2,41,1.56,308,0.512
18506359,"Luxurious, Spacious Loft in Williamsburg",123953239,Philippe,Brooklyn,Williamsburg,Entire home/apt,260,2,34,1.31,330,0.3020769230769231
18506841,SPACIOUS MANHATTAN TOWNHOUSE 2BR Apt Sleeps 6,75279920,Anitra And Steven,Manhattan,Harlem,Entire home/apt,275,3,89,3.41,96,1.4272363636363636
18507990,Cozy One Bedroom in a Private House.Safe & Quite.,38604449,Pasang,Queens,Woodside,Private room,45,2,30,1.23,242,1.4866666666666668
18508209,Charming Bedroom,1635983,Sheila,Bronx,Schuylerville,Private room,42,4,22,1.18,147,1.1419047619047618
18508470,Adorable Cozy room with lots of light,33434914,Juan,Bronx,Parkchester,Private room,43,2,71,2.71,59,6.125813953488373
18508959,Lovely 2 bdr apartment Williamsburg w private yard,18280205,Anthony,Brooklyn,Williamsburg,Entire home/apt,200,2,32,1.25,8,0.36
